Item,Qty,Unit Price,Date Acquired,Job ID,Group,Runs,ME
Cartesian Temporal Coordinator,163,13608.54,2016-03-30,Svipul1,Ancient Salvage,,
Cartesian Temporal Coordinator,14,15601.00,2016-03-30,Svipul1,Ancient Salvage,,
Cartesian Temporal Coordinator,3,15601.00,2016-03-30,Svipul2,Ancient Salvage,,
Cartesian Temporal Coordinator,54,10015.66,2016-04-07,Svipul2,Ancient Salvage,,
Cartesian Temporal Coordinator,1,10025.00,2016-04-09,Svipul2,Ancient Salvage,,
Cartesian Temporal Coordinator,65,12999.79,2016-04-09,Svipul2,Ancient Salvage,,
Cartesian Temporal Coordinator,18,12999.79,2016-04-09,Svipul2,Ancient Salvage,,
Cartesian Temporal Coordinator,1,12999.79,2016-04-09,Svipul2,Ancient Salvage,,
Cartesian Temporal Coordinator,48,10030.00,2016-04-16,Svipul3,Ancient Salvage,,
Cartesian Temporal Coordinator,58,10985.00,2016-04-16,Svipul3,Ancient Salvage,,
Cartesian Temporal Coordinator,49,7666.05,2016-04-28,Confessor1,Ancient Salvage,,
Cartesian Temporal Coordinator,2,7666.05,2016-04-28,Confessor1,Ancient Salvage,,
Cartesian Temporal Coordinator,20,10392.15,2016-04-30,Confessor1,Ancient Salvage,,
Cartesian Temporal Coordinator,3,7737.87,2016-05-05,D3s1,Ancient Salvage,,
Cartesian Temporal Coordinator,106,9399.92,2016-05-05,D3s1,Ancient Salvage,,
Cartesian Temporal Coordinator,68,9399.92,2016-05-05,D3s1,Ancient Salvage,,
Cartesian Temporal Coordinator,1062,7749.76,2016-05-10,LegionElec1,Ancient Salvage,,
Cartesian Temporal Coordinator,99,7749.76,2016-05-10,LegionElec1,Ancient Salvage,,
Cartesian Temporal Coordinator,4,7749.76,2016-05-10,LegionElec1,Ancient Salvage,,
Cartesian Temporal Coordinator,29,7595.25,2016-05-17,D3s2,Ancient Salvage,,
Cartesian Temporal Coordinator,3,7595.25,2016-05-17,D3s2,Ancient Salvage,,
Cartesian Temporal Coordinator,19,7605.19,2016-05-23,D3s2,Ancient Salvage,,
